project_name,configuration,locality,2bhk_price,3bhk_price,3.5bhk_price,average_price,possession_date,updated_on,rera_flag,ready_to_move,builtup_area
"3 BHK Flat in Vile Parle West, Mumbai",[3 BHK Flat,Vile Parle West,N/A,N/A,N/A,N/A,N/A,2d ago,No,Yes,1152 sq.ft
"1 BHK Flat in Borivali West, Mumbai",[1 BHK Flat,Borivali West,N/A,N/A,N/A,N/A,N/A,1w ago,Yes,Yes,650 sq.ft
Oberoi Sky City,3 BHK Flat,Borivali East,N/A,₹5.14 C,N/A,₹47.0k/sq.ft,"Dec, 2027",2w ago,Yes,No,N/A
AnchorPoint Aviara,"2, 3 BHK Flats",Malad West,₹1.89 C,₹2.89 C,N/A,₹28.86 K/sq.ft,"Dec, 2028",5d ago,Yes,No,N/A
Sayba Swarna,"1, 2 BHK Flats",Kurla East,₹1.16 C,N/A,N/A,₹22 K/sq.ft,"Dec, 2027",2w ago,Yes,No,N/A
"3 BHK Flat in Bandra West, Mumbai",[3 BHK Flat,Bandra West,N/A,N/A,N/A,N/A,N/A,5d ago,Yes,Yes,1600 sq.ft
Mesacon Nest,"1, 2.5, 3 BHK Flats",Vile Parle East,N/A,₹3.01 C,N/A,₹30 K/sq.ft,"Dec, 2024",N/A,Yes,No,N/A
Ruparel Millennia,"1, 2 BHK Flats",Parel,₹2.37 C,N/A,N/A,₹37.81 K/sq.ft,"Dec, 2025",5d ago,Yes,No,N/A
Om Highness Homes,"2, 4 BHK Villas",Palghar,N/A,N/A,N/A,₹7.64 K - 8.14 K/sq.ft,"Dec, 2028",2w ago,Yes,No,N/A
Prithvi Anand Kuber Complex Phase 2,"1 RK, 1, 2, 3 BHK Flats",Palghar,₹27.43 L - 41.2 L,₹37.42 L - 52.73 L,N/A,₹5.49 K/sq.ft,"Dec, 2027",5d ago,Yes,No,N/A
Confiable Shastri Nagar Prerna CHSL,"1, 1.5, 2, 2.5, 3.5 BHK Flats",Goregaon West,₹1.4 C,N/A,₹1.89 C,₹24.58 K/sq.ft,"Jun, 2025",N/A,Yes,No,N/A
Vihang Atharva,"1, 2 BHK Flats",Mira Road East,₹74.45 L - 81.78 L,N/A,N/A,₹14.57 K/sq.ft,"Dec, 2029",5d ago,Yes,No,N/A
Kripa Elysium,"1, 2 BHK Flats",Chembur,₹1.1 C,N/A,N/A,₹23.95 K/sq.ft,"Dec, 2027",2w ago,Yes,No,N/A
Podar Avanta Heights,"1, 2 BHK Flats",Parel,₹2.16 C,N/A,N/A,₹37.36 K/sq.ft,"Jun, 2027",5d ago,Yes,No,N/A
Ornata Sapphire,"1, 2 BHK Flats",Chembur,₹99.01 L - 1.27 C,N/A,N/A,₹24.41 K - 26 K/sq.ft,"Jun, 2025",2w ago,Yes,No,N/A
Sidhivinayak Orchid,"1, 2 BHK Flats",Ghatkopar East,₹1.06 C,N/A,N/A,₹20 K/sq.ft,"Dec, 2026",2w ago,Yes,No,N/A
Bhakti Pride,"1, 2, 3, 4 BHK Flats",Chembur,₹94.39 L - 1.85 C,₹2.28 C,N/A,₹22 K/sq.ft,"Dec, 2027",2w ago,Yes,No,N/A
Vaibhav Queens Park,"1, 2, 3 BHK Flats",Chembur,₹1.55 C,₹2.52 C,N/A,₹27.19 K/sq.ft,"Dec, 2025",5d ago,Yes,No,N/A
Ruparel Regalia,2 BHK Flat,Sion,₹1.27 C,N/A,N/A,N/A,"Dec, 2023",N/A,Yes,No,N/A
One Meraki Wing A And B,"2, 3, 4 BHK Flats",Chembur,₹2.25 C,₹3.49 C,N/A,₹30 K/sq.ft,"Dec, 2025",2w ago,Yes,No,N/A
